feature_name,data_type,description,null_count,unique_count,count,mean,std,min,25%,50%,75%,max
txn_count_30d,float64,Total transaction count over 30-day period showing overall account activity,645550,1088,428228.0,7.624363656743604,49.20607949114536,1.0,1.0,2.0,4.0,2243.0
txn_amt_30d,float64,Total transaction amount over 30-day period indicating financial flow volume,645550,75730,428228.0,27276.734803422467,167729.70138798983,0.01,200.0,2000.0,11225.0,20326001.0
txn_velocity_30d,float64,Average daily transaction velocity over 30-day period showing sustained activity level,645550,1088,428228.0,0.2541454552247867,1.6402026497025266,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.1333333333333333,74.76666666666667
txn_days_active_30d,float64,Feature txn_days_active_30d providing context for fraud detection and risk assessment,645550,30,428228.0,2.9706254612029106,3.3111567015108965,1.0,1.0,2.0,3.0,30.0
txn_count_day_volatility_30d,float64,Total transaction count over 30-day period showing overall account activity,841897,9033,231881.0,0.7005792692948165,2.939932650623029,0.0,0.0,0.0,0.6992058987801011,443.3559518039653
txn_amt_day_volatility_30d,float64,Total transaction amount over 30-day period indicating financial flow volume,841897,143080,231881.0,6031.656443135347,25763.886546086396,0.0,380.7853726182244,1633.12833747586,5210.833624488504,7552549.790192272
txn_count_vol_score_wk1,float64,Volatility score for wk1 measuring transaction pattern irregularity,985006,3604,88772.0,0.21735879713163458,0.564915855240587,0.0,0.0,0.0,0.3535533905932738,61.51828996322963
txn_amt_vol_score_wk1,float64,Volatility score for wk1 measuring transaction pattern irregularity,985006,56380,88772.0,29.376165332432052,752.0240508261627,0.0,0.5128419187570945,1.3056114728425885,4.573327440510009,186973.35892911
txn_count_vol_score_wk2,float64,Volatility score for wk2 measuring transaction pattern irregularity,1014915,3688,58863.0,0.2339401629840003,0.9951244418286715,0.0,0.0,0.0,0.3535533905932738,221.6779759019826
txn_amt_vol_score_wk2,float64,Volatility score for wk2 measuring transaction pattern irregularity,1014915,43890,58863.0,62.449742292431516,742.3628486649427,0.0,0.5090902288458412,1.198437629818359,3.703052968807356,41825.74416427522
txn_count_vol_score_wk3,float64,Volatility score for wk3 measuring transaction pattern irregularity,1017152,2942,56626.0,0.24246170812838239,0.7124182905334926,0.0,0.0,0.0,0.3535533905932738,50.55813485483815
txn_amt_vol_score_wk3,float64,Volatility score for wk3 measuring transaction pattern irregularity,1017152,43474,56626.0,74.46360983930089,835.5980023944797,0.0,0.5507486090953169,1.3182760118634496,4.082180118303945,37028.51472793126
txn_count_vol_score_wk4,float64,Volatility score for wk4 measuring transaction pattern irregularity,1004139,2869,69639.0,0.21464762954562802,0.3577073236891591,0.0,0.0,0.0,0.3535533905932738,17.59058189567848
txn_amt_vol_score_wk4,float64,Volatility score for wk4 measuring transaction pattern irregularity,1004139,54367,69639.0,50.25272699529344,737.3388040820682,0.0,0.5883346057929648,1.411390780811472,4.402963054201766,50617.59483397297
max_txn_count_day,float64,Maximum daily txn indicating peak account usage or potential abuse,645550,205,428228.0,2.133891291554966,7.081497165867345,1.0,1.0,1.0,2.0,628.0
min_txn_count_day,float64,Minimum daily txn showing baseline account activity,645550,75,428228.0,1.153194092866417,1.4515926192560016,1.0,1.0,1.0,1.0,137.0
max_txn_amt_day,float64,Maximum daily txn indicating peak account usage or potential abuse,645550,43399,428228.0,10201.558551962973,49132.811725424865,0.01,180.0,1450.0,7150.0,14400000.0
min_txn_amt_day,float64,Minimum daily txn showing baseline account activity,645550,18607,428228.0,2567.5326512512033,14702.941364468996,0.01,100.0,200.0,1000.0,2000000.0
avg_amt_in_day,float64,Average daily amt_in indicating typical account behavior,645550,68730,428228.0,5177.892247272033,24081.0447492463,0.0,100.0,600.0,3550.55375,5351666.666666667
avg_amt_out_day,float64,Average daily amt_out indicating typical account behavior,645550,43578,428228.0,1727.7161329980852,5567.3899998555435,0.0,0.0,90.0,860.0,99979.0
avg_net_flow_amt_day,float64,Average daily net_flow_amt indicating typical account behavior,645550,101991,428228.0,3450.1761142739465,22952.198895928792,-80000.0,1.0,266.6666666666667,2400.0,5351666.666666667
avg_inflow_outflow_ratio_day,float64,Average daily inflow_outflow_ratio indicating typical account behavior,645550,148146,428228.0,1829.1354371292748,17046.87354571391,0.0,1.0,6.013702770607823,185.0,5351666.666666667
num_same_day_cico_days,float64,Cash-in-cash-out same day patterns potentially indicating money laundering behavior,645550,30,428228.0,0.4478875739092259,1.5401735432551515,0.0,0.0,0.0,0.0,29.0
num_inflow_days,float64,Numeric metric related to num inflow days for quantitative risk assessment,645550,31,428228.0,2.00658060659275,2.5806811275473924,0.0,1.0,1.0,2.0,30.0
percent_inflow_same_day_out,float64,Numeric metric related to percent inflow same day out for quantitative risk assessment,645550,286,428228.0,0.0783095584894185,0.17831390882018594,0.0,0.0,0.0,0.0,0.9666666666666667
count_INSTAPAY_IN,float64,Number of incoming transactions via InstaPay (real-time) network showing payment preference,720763,332,353015.0,3.6029885415633895,11.59098904341637,1.0,1.0,2.0,3.0,1207.0
count_INSTAPAY_OUT,float64,Number of incoming transactions via InstaPay (real-time) network showing payment preference,825062,1010,248716.0,7.9236438347352,59.20737601373422,1.0,1.0,1.0,3.0,2234.0
count_PESONET_IN,float64,Number of incoming transactions via PESONet (batch) network showing institutional payment patterns,1065201,36,8577.0,2.602191908592748,7.350759228797701,1.0,2.0,2.0,2.0,628.0
count_PESONET_OUT,float64,Number of outgoing transactions via PESONet (batch) network showing institutional payment patterns,1073777,1,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
count_total_in,float64,Numeric metric related to count total in for quantitative risk assessment,645550,336,428228.0,3.0222871928038333,10.68040558485954,0.0,1.0,1.0,3.0,1207.0
count_total_out,float64,Numeric metric related to count total out for quantitative risk assessment,645550,1011,428228.0,4.60207646393977,45.29121892927842,0.0,0.0,1.0,2.0,2234.0
amount_INSTAPAY_IN,float64,Total amount received via InstaPay (real-time) network indicating financial flow volume,720763,55273,353015.0,23620.61968522584,149359.69941230683,0.01,200.0,2000.0,10515.0,19998001.0
amount_INSTAPAY_OUT,float64,Total amount received via InstaPay (real-time) network indicating financial flow volume,825062,31950,248716.0,11370.542630269056,52167.303269456075,0.01,200.0,1000.0,4900.0,1489761.0
amount_PESONET_IN,float64,Total amount received via PESONet (batch) network indicating bulk payment behavior,1065201,3530,8577.0,59950.058574093506,262301.5666693982,0.01,2000.0,9000.0,35618.6,16000000.0
amount_PESONET_OUT,float64,Total amount sent via PESONet (batch) network indicating bulk payment behavior,1073777,1,1.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0
total_amount_in,float64,Numeric metric related to total amount in for quantitative risk assessment,645550,57470,428228.0,20672.690040282287,142314.02321380907,0.0,100.0,1000.0,8300.0,19998001.0
total_amount_out,float64,Numeric metric related to total amount out for quantitative risk assessment,645550,31951,428228.0,6604.044763140193,40150.81753764136,0.0,0.0,92.0,1582.0,1489761.0
max_amount_INSTAPAY_IN,float64,Total amount received via InstaPay (real-time) network indicating financial flow volume,720763,25240,353015.0,6262.122513660892,11179.683003777931,0.01,180.0,1400.0,6642.205,50000.0
max_amount_INSTAPAY_OUT,float64,Total amount received via InstaPay (real-time) network indicating financial flow volume,825062,13405,248716.0,3911.3994274594324,8624.417284442754,0.01,198.9775,881.0,3000.0,50000.0
max_amount_PESONET_IN,float64,Total amount received via PESONet (batch) network indicating bulk payment behavior,1065201,3030,8577.0,25527.212580156243,97420.16641767151,0.01,1000.0,5000.0,17000.0,7000000.0
max_amount_PESONET_OUT,float64,Total amount sent via PESONet (batch) network indicating bulk payment behavior,1073777,1,1.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0
min_amount_INSTAPAY_IN,float64,Total amount received via InstaPay (real-time) network indicating financial flow volume,720763,14655,353015.0,2063.283966856933,5880.140744826744,0.01,100.0,285.0,1000.0,50000.0
min_amount_INSTAPAY_OUT,float64,Total amount received via InstaPay (real-time) network indicating financial flow volume,825062,9671,248716.0,1658.3102990559526,5196.414023839973,0.01,90.0,200.0,977.0,50000.0
min_amount_PESONET_IN,float64,Total amount received via PESONet (batch) network indicating bulk payment behavior,1065201,2721,8577.0,20272.357290427888,55045.248512332175,0.01,627.31,3000.0,12193.7,1600000.0
min_amount_PESONET_OUT,float64,Total amount sent via PESONet (batch) network indicating bulk payment behavior,1073777,1,1.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0
txn_days_active,float64,Numeric metric related to txn days active for quantitative risk assessment,645550,30,428228.0,2.9706254612029106,3.3111567015108965,1.0,1.0,2.0,3.0,30.0
weekend_txn_count,float64,Weekly transaction count for count showing account activity frequency,862361,444,211417.0,4.0775954629949345,19.30270991075512,1.0,1.0,1.0,2.0,721.0
night_txn_count,float64,Nighttime transaction activity potentially indicating suspicious or automated behavior,812238,447,261540.0,4.11787489485356,19.139899556405407,1.0,1.0,1.0,3.0,982.0
hour_entropy,float64,Hour-of-day transaction entropy measuring predictability of timing patterns,645550,11669,428228.0,1.016874710671333,1.1080249120216892,0.0,0.0,1.0,1.842370993177109,4.554227289294026
weekday_entropy,float64,Day-of-week transaction entropy indicating schedule regularity or randomness,645550,12285,428228.0,0.802213752309483,0.8745981435892098,0.0,0.0,0.9182958340544896,1.521928094887362,2.807354922057605
min_time_btwn_txns_sec,float64,Time intervals between transactions showing account usage rhythm and automation patterns,819449,131956,254329.0,243276.78840006448,466316.39177722065,0.0,333.0,21933.0,244916.0,2578572.0
min_time_btwn_txns_days,float64,Minimum daily time showing baseline account activity,819449,131956,254329.0,2.8157035694451915,5.397180460382282,0.0,0.003854166666666667,0.2538541666666667,2.834675925925926,29.84458333333333
max_time_btwn_txns_days,float64,Maximum daily time indicating peak account usage or potential abuse,819449,224626,254329.0,8.391395446176238,6.464637623294318,0.0,3.183715277777778,7.225914351851852,12.34271990740741,29.84458333333333
avg_time_btwn_txns_days,float64,Average daily time_btwn_txnss indicating typical account behavior,819449,236851,254329.0,4.869164300974951,5.223230733034862,0.0,1.363177726337449,3.22431712962963,6.485933641975308,29.84458333333333
cv_time_btwn_txns,float64,Time intervals between transactions showing account usage rhythm and automation patterns,897188,174186,176590.0,1.1794609381323484,0.7857138289925205,0.0,0.8011164398874552,1.0999376844512594,1.4117391922267992,24.24784000051288
min_txn_sessions_per_day_3min,float64,Minimum daily txn showing baseline account activity,645550,46,428228.0,1.0859728929448798,0.7310463417926032,1.0,1.0,1.0,1.0,64.0
max_txn_sessions_per_day_3min,float64,Maximum daily txn indicating peak account usage or potential abuse,645550,112,428228.0,1.8071704792773944,4.400009919930751,1.0,1.0,1.0,2.0,127.0
min_txn_sessions_per_day_5min,float64,Minimum daily txn showing baseline account activity,645550,37,428228.0,1.0704017486012125,0.5736113631780543,1.0,1.0,1.0,1.0,43.0
max_txn_sessions_per_day_5min,float64,Maximum daily txn indicating peak account usage or potential abuse,645550,83,428228.0,1.7057922415162017,3.5201239006560274,1.0,1.0,1.0,2.0,85.0
active_days_with_txns,float64,Numeric metric related to active days with txns for quantitative risk assessment,645550,30,428228.0,2.9706254612029106,3.3111567015108965,1.0,1.0,2.0,3.0,30.0
num_unique_source_accounts,float64,Number of unique counterparties indicating account's network diversity and potential risk,717338,208,356440.0,1.9209404107283132,5.650975178165456,0.0,1.0,1.0,2.0,750.0
num_unique_source_names,float64,Number of unique counterparties indicating account's network diversity and potential risk,717338,201,356440.0,1.8603579845135225,5.583272705308252,0.0,1.0,1.0,2.0,735.0
num_unique_destination_accounts,float64,Number of unique counterparties indicating account's network diversity and potential risk,825062,861,248716.0,5.264442175010855,44.52400122468495,0.0,1.0,1.0,2.0,1633.0
num_unique_destination_names,float64,Number of unique counterparties indicating account's network diversity and potential risk,825062,837,248716.0,5.228879525241641,43.86745294442377,0.0,1.0,1.0,2.0,1633.0
repeat_sources,float64,Numeric metric related to repeat sources for quantitative risk assessment,929915,88,143863.0,1.4556001195581907,2.4824587172620936,1.0,1.0,1.0,1.0,202.0
total_sources,float64,Numeric metric related to total sources for quantitative risk assessment,929915,207,143863.0,3.0335458039940777,8.70946007696471,1.0,1.0,2.0,3.0,750.0
repeat_counterparty_ratio_in,float64,Ratio of repeated vs new counterparties indicating relationship-based vs random transaction patterns,929915,855,143863.0,0.7306700562255968,0.29582170867285723,0.0072992700729927,0.5,1.0,1.0,1.0
repeat_destinations,float64,Numeric metric related to repeat destinations for quantitative risk assessment,999833,93,73945.0,1.4765569003989452,4.769156709560333,1.0,1.0,1.0,1.0,447.0
total_destinations,float64,Numeric metric related to total destinations for quantitative risk assessment,999833,849,73945.0,13.955710325241734,79.7545598273251,1.0,1.0,2.0,3.0,1633.0
repeat_counterparty_ratio_out,float64,Ratio of repeated vs new counterparties indicating relationship-based vs random transaction patterns,999833,1528,73945.0,0.6577000084135264,0.33655005807845373,0.001150747986191024,0.3333333333333333,0.5,1.0,1.0
amt_from_source,float64,Numeric metric related to amt from source for quantitative risk assessment,717338,42527,356440.0,13918.605305156549,82870.53217407946,0.01,200.0,2000.0,9800.0,19588000.0
rank,float64,Numeric metric related to rank for quantitative risk assessment,717338,1,356440.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
total_in,float64,Numeric metric related to total in for quantitative risk assessment,717338,57468,356440.0,24836.226884103926,155656.5210893979,0.01,200.0,2000.0,11000.0,19998001.0
top_source_share_in,float64,Concentration of transactions with primary counterparty indicating dependency or control patterns,717338,64054,356440.0,0.8931769540169358,0.19360226068093228,0.00882314209209429,0.8598130841121495,1.0,1.0,1.000000000000001
amt_to_destination,float64,Numeric metric related to amt to destination for quantitative risk assessment,825062,21479,248716.0,6419.012350632853,25773.513016068133,0.01,200.0,992.0,4000.0,1236996.0
rank.1,float64,Numeric metric related to rank.1 for quantitative risk assessment,825062,1,248716.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
total_out,float64,Numeric metric related to total out for quantitative risk assessment,825062,31950,248716.0,11370.546650919114,52167.30251410753,0.01,200.0,1000.0,4900.0,1489761.0
top_destination_share_out,float64,Concentration of transactions with primary counterparty indicating dependency or control patterns,825062,44806,248716.0,0.89064339848764,0.20008586143357676,0.003288949248619763,0.8557962837927049,1.0,1.0,1.000000000000001
source_entropy_in,float64,Feature source_entropy_in providing context for fraud detection and risk assessment,717338,6757,356440.0,0.45317525512193,0.780926156085538,0.0,0.0,0.0,0.9182958340544896,9.297884251791295
destination_entropy_out,float64,Feature destination_entropy_out providing context for fraud detection and risk assessment,825062,5616,248716.0,0.5226735080609786,1.0413286355730527,0.0,0.0,0.0,1.0,10.64582127933273
